PMID,Journal,doi,doi_url,publisher_guess,year
3266529,Prax Klin Pneumol,,,,1988
3266529,Prax Klin Pneumol,,,,1988
3186670,Prax Klin Pneumol,,,,1988
38864105,Praxis,,,,2024
38864105,Praxis,,,,2024
37042408,Praxis,10.1024/1661-8157/a004011,https://econtent.hogrefe.com/doi/10.1024/1661-8157/a004011,Unknown,2023
5051119,Prensa Med Argent,,,,1972
5051119,Prensa Med Argent,,,,1972
5031932,Prensa Med Argent,,,,1972
400590,Prensa Med Mex,,,,1979
400590,Prensa Med Mex,,,,1979
757614,Prensa Med Mex,,,,1978
8570570,Prep Biochem,10.1080/10826069508010122,https://www.tandfonline.com/doi/abs/10.1080/10826069508010122,Taylor & Francis,1995
8570570,Prep Biochem,10.1080/10826069508010122,https://www.tandfonline.com/doi/abs/10.1080/10826069508010122,Taylor & Francis,1995
7603969,Prep Biochem,10.1080/10826069508010104,https://www.tandfonline.com/doi/abs/10.1080/10826069508010104,Taylor & Francis,1995
38907946,Plant Foods Hum Nutr,10.1007/s11130-024-01195-6,https://link.springer.com/article/10.1007/s11130-024-01195-6,Springer,2024
38907946,Plant Foods Hum Nutr,10.1007/s11130-024-01195-6,https://link.springer.com/article/10.1007/s11130-024-01195-6,Springer,2024
38358638,Plant Foods Hum Nutr,10.1007/s11130-024-01153-2,https://link.springer.com/article/10.1007/s11130-024-01153-2,Springer,2024
5068317,Presse Therm Clim,,,,1972
5068317,Presse Therm Clim,,,,1972
5172619,Presse Therm Clim,,,,1971
3867065,Prev Stomatol,,,,1985
3867065,Prev Stomatol,,,,1985
6220401,Prev Stomatol,,,,1982
417337,Primates Med,,,,1978
417337,Primates Med,,,,1978
5006025,Primates Med,,,,1969
5256771,Probe (Adelaide),,,,1967
5256771,Probe (Adelaide),,,,1967
5256768,Probe (Adelaide),,,,1967
1502132,Probe (Lond),,,,1992
1502132,Probe (Lond),,,,1992
2762254,Probe (Lond),,,,1989
38910051,Placenta,10.1016/j.placenta.2024.06.016,https://linkinghub.elsevier.com/retrieve/pii/S0143400424002911,ScienceDirect,2024
38910051,Placenta,10.1016/j.placenta.2024.06.016,https://linkinghub.elsevier.com/retrieve/pii/S0143400424002911,ScienceDirect,2024
38308901,Placenta,10.1016/j.placenta.2024.01.014,https://linkinghub.elsevier.com/retrieve/pii/S0143400424000304,ScienceDirect,2024
896701,Probl Actuels Endocrinol Nutr,,,,1977
896701,Probl Actuels Endocrinol Nutr,,,,1977
362411,Probl Actuels Endocrinol Nutr,,,,1977
4620753,Probl Actuels Otorhinolaryngol,,,,1974
4620753,Probl Actuels Otorhinolaryngol,,,,1974
5758443,Probl Actuels Otorhinolaryngol,,,,1968
38914119,Pneumologie,10.1055/a-2331-8978,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2331-8978,Unknown,2024
38914119,Pneumologie,10.1055/a-2331-8978,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2331-8978,Unknown,2024
37619576,Pneumologie,10.1055/a-1849-4345,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-1849-4345,Unknown,2023
38796767,Probl Endokrinol (Mosk),10.14341/probl13465,https://www.probl-endojournals.ru/jour/article/view/13465,Unknown,2024
38796767,Probl Endokrinol (Mosk),10.14341/probl13465,https://www.probl-endojournals.ru/jour/article/view/13465,Unknown,2024
37694862,Probl Endokrinol (Mosk),10.14341/probl13361,https://www.probl-endojournals.ru/jour/article/view/13361,Unknown,2023
6985440,Placenta Suppl,,,,1982
6985440,Placenta Suppl,,,,1982
6100760,Placenta Suppl,,,,1982
3650907,Perioper Nurs Q,,,,1987
3650907,Perioper Nurs Q,,,,1987
2432593,Perioper Nurs Q,,,,1986
6015023,Probl Endokrinol Gormonoter,,,,1966
6015023,Probl Endokrinol Gormonoter,,,,1966
6005023,Probl Endokrinol Gormonoter,,,,1966
10752473,Probe,,,,1999
10752473,Probe,,,,1999
10752469,Probe,,,,1999
19791027,Policy Statement R Coll Gen Pract,,,,1994
19791027,Policy Statement R Coll Gen Pract,,,,1994
3832065,Policy Statement R Coll Gen Pract,,,,1985
7156087,Probl Gematol Pereliv Krovi,,,,1982
7156087,Probl Gematol Pereliv Krovi,,,,1982
7111242,Probl Gematol Pereliv Krovi,,,,1982
10202778,Probl Khig,,,,1997
10202778,Probl Khig,,,,1997
9190589,Probl Khig,,,,1996
