PMID,Journal,doi,doi_url,publisher_guess,year
29528615,Rhinol Suppl,10.4193/Rhino16.248,https://www.rhinologyjournal.com/Documents/Supplements/supplement_26.pdf,Unknown,2017
29528615,Rhinol Suppl,10.4193/Rhino16.248,https://www.rhinologyjournal.com/Documents/Supplements/supplement_26.pdf,Unknown,2017
1389404,Rhinol Suppl,,,,1992
12463198,NIH Guide Grants Contracts (Bethesda),,,,1997
12463198,NIH Guide Grants Contracts (Bethesda),,,,1997
8031608,NIH Guide Grants Contracts (Bethesda),,,,1994
38874389,Hum Exp Toxicol,10.1177/09603271241261307,https://journals.sagepub.com/doi/10.1177/09603271241261307,SAGE Publications,2024
38874389,Hum Exp Toxicol,10.1177/09603271241261307,https://journals.sagepub.com/doi/10.1177/09603271241261307,SAGE Publications,2024
38646969,Hum Exp Toxicol,10.1177/09603271241248631,https://journals.sagepub.com/doi/10.1177/09603271241248631,SAGE Publications,2024
8312018,Grud Serdechnososudistaia Khir,,,,1993
8312018,Grud Serdechnososudistaia Khir,,,,1993
8312016,Grud Serdechnososudistaia Khir,,,,1993
4881769,J Dent Child,,,,1968
4881769,J Dent Child,,,,1968
