PMID,Journal,doi,doi_url,publisher_guess,year
37461799,Hist Soz Forsch,10.12759/hsr.48.2023.21,https://www.ssoar.info/ssoar/handle/document/86764?locale-attribute=en,Unknown,2023
37461799,Hist Soz Forsch,10.12759/hsr.48.2023.21,https://www.ssoar.info/ssoar/handle/document/86764?locale-attribute=en,Unknown,2023
12178186,Mahidol Popul Q Gaz,,,,2000
12178186,Mahidol Popul Q Gaz,,,,2000
12178172,Mahidol Popul Q Gaz,,,,1995
12178194,Familia,,,,1993
12178194,Familia,,,,1993
12178189,Familia,,,,1992
12178217,Chron CEPED,,,,2000
12178217,Chron CEPED,,,,2000
12178209,Chron CEPED,,,,1994
12178232,Correo Poblac Salud,,,,1998
12178232,Correo Poblac Salud,,,,1998
12178227,Correo Poblac Salud,,,,1997
12178244,Appl Demor,,,,1998
12178244,Appl Demor,,,,1998
12178244,Appl Demor,,,,1998
12178257,Hommes Migr,,,,1996
12178257,Hommes Migr,,,,1996
12178266,Hommes Migr,,,,1977
12178287,Media Gend Monit,,,,1997
12178287,Media Gend Monit,,,,1997
12178285,Media Gend Monit,,,,1998
12178256,Bull Eugen Soc,,,,1983
12178256,Bull Eugen Soc,,,,1983
12178250,Bull Eugen Soc,,,,1979
12178276,Philipp Rev Econ Bus,,,,1992
12178276,Philipp Rev Econ Bus,,,,1992
12178275,Philipp Rev Econ Bus,,,,1984
38645874,Sichuan Da Xue Xue Bao,10.12182/20240360601,https://ykxb.scu.edu.cn/cn/article/doi/10.12182/20240360601,Unknown,2024
38645874,Sichuan Da Xue Xue Bao,10.12182/20240360601,https://ykxb.scu.edu.cn/cn/article/doi/10.12182/20240360601,Unknown,2024
38162060,Sichuan Da Xue Xue Bao,10.12182/20231160603,https://ykxb.scu.edu.cn/cn/article/doi/10.12182/20231160603,Unknown,2023
12178302,Polit Soc (Madrid),,,,1997
12178302,Polit Soc (Madrid),,,,1997
12178301,Polit Soc (Madrid),,,,1997
12178307,Scholast Update,,,,1984
12178307,Scholast Update,,,,1984
12178305,Scholast Update,,,,1984
12178317,Poblac Desarro,,,,1993
12178317,Poblac Desarro,,,,1993
12178316,Poblac Desarro,,,,1992
12178319,Law File,,,,1980
12178319,Law File,,,,1980
12178320,Law File,,,,1980
12178345,IPPF Eur Reg Inf,,,,1988
12178345,IPPF Eur Reg Inf,,,,1988
12178341,IPPF Eur Reg Inf,,,,1979
12178368,Public Financ,,,,1995
12178368,Public Financ,,,,1995
12178370,Public Financ,,,,1979
12222169,Health Reform Prior Serv,,,,1999
12222169,Health Reform Prior Serv,,,,1999
12222167,Health Reform Prior Serv,,,,1999
12178375,Jing Ji Lun Wen,,,,1997
12178375,Jing Ji Lun Wen,,,,1997
12178383,Jing Ji Lun Wen,,,,1983
12178394,Rev Geogr Inst Panam Geogr Hist,,,,1995
12178394,Rev Geogr Inst Panam Geogr Hist,,,,1995
12178400,Rev Geogr Inst Panam Geogr Hist,,,,1973
12178468,Kajok Kyehoek Nonjip,,,,1980
12178468,Kajok Kyehoek Nonjip,,,,1980
12178444,Kajok Kyehoek Nonjip,,,,1979
12178512,Urban Health Newsl,,,,1997
12178512,Urban Health Newsl,,,,1997
12178479,Urban Health Newsl,,,,1995
12178541,Ann IFORD,,,,1990
12178541,Ann IFORD,,,,1990
12178530,Ann IFORD,,,,1989
25635145,J Geog,10.1080/00221341.2011.624189,https://www.tandfonline.com/doi/abs/10.1080/00221341.2011.624189,Taylor & Francis,2012
25635145,J Geog,10.1080/00221341.2011.624189,https://www.tandfonline.com/doi/abs/10.1080/00221341.2011.624189,Taylor & Francis,2012
12178556,J Geog,,,,1978
16639812,Conscience,,,,2005
16639812,Conscience,,,,2005
16639812,Conscience,,,,2005
12178750,Vestn Statistiki,,,,1992
12178750,Vestn Statistiki,,,,1992
12178820,Vestn Statistiki,,,,1985
12178641,Wirtsch Stat,,,,1997
12178641,Wirtsch Stat,,,,1997
12178691,Wirtsch Stat,,,,1985
12178940,Migr News,,,,1987
12178940,Migr News,,,,1987
12178954,Migr News,,,,1982
12179000,ICPD 94,,,,1994
12179000,ICPD 94,,,,1994
12179005,ICPD 94,,,,1994
12179067,Popul Geogr,,,,1996
12179067,Popul Geogr,,,,1996
12179090,Popul Geogr,,,,1981
12178985,NPG Forum Ser,,,,1998
12178985,NPG Forum Ser,,,,1998
12178976,NPG Forum Ser,,,,1990
12179109,Womens World,,,,1999
12179109,Womens World,,,,1999
12179106,Womens World,,,,1999
12179115,Acta Demogr,,,,1992
12179115,Acta Demogr,,,,1992
12179163,Acta Demogr,,,,1977
12179210,Indian Med Trib,,,,1997
12179210,Indian Med Trib,,,,1997
12179189,Indian Med Trib,,,,1995
12179241,People Count,,,,1995
12179241,People Count,,,,1995
12179238,People Count,,,,1992
12179251,SidAlerte,,,,1996
12179251,SidAlerte,,,,1996
12179248,SidAlerte,,,,1996
12179263,Sex Planeam Fam,,,,1997
12179263,Sex Planeam Fam,,,,1997
12179268,Sex Planeam Fam,,,,1995
12179297,Rooilijn,,,,1980
12179297,Rooilijn,,,,1980
12179294,Rooilijn,,,,1980
12179281,Trop J Obstet Gynaecol,,,,1990
12179281,Trop J Obstet Gynaecol,,,,1990
12179284,Trop J Obstet Gynaecol,,,,1988
12179324,Child Worldw,,,,1993
12179324,Child Worldw,,,,1993
12179313,Child Worldw,,,,1993
12179334,J Soc Stud,,,,1994
12179334,J Soc Stud,,,,1994
12179334,J Soc Stud,,,,1994
12179330,Maghreb Machrek,,,,1994
12179330,Maghreb Machrek,,,,1994
12179327,Maghreb Machrek,,,,1989
12158269,Poblacion,,,,1995
12158269,Poblacion,,,,1995
12319008,Poblacion,,,,1993
12158273,Izv Vses Geogr Obshchestva,,,,1988
12158273,Izv Vses Geogr Obshchestva,,,,1988
12158272,Izv Vses Geogr Obshchestva,,,,1986
12179342,Terra (Hels),,,,1996
12179342,Terra (Hels),,,,1996
12179342,Terra (Hels),,,,1996
12179346,Bull Trimest Plan Fam,,,,1993
12179346,Bull Trimest Plan Fam,,,,1993
12179348,Bull Trimest Plan Fam,,,,1993
12179354,Foro Mund Salud,,,,1990
12179354,Foro Mund Salud,,,,1990
12179350,Foro Mund Salud,,,,1990
12179364,GRMA News,,,,1993
12179364,GRMA News,,,,1993
12179355,GRMA News,,,,1993
12179375,Soc Afr SIDA,,,,1996
12179375,Soc Afr SIDA,,,,1996
12179375,Soc Afr SIDA,,,,1996
12179382,Intermediar,,,,1981
12179382,Intermediar,,,,1981
12179377,Intermediar,,,,1979
12179385,Part J,,,,1972
12179385,Part J,,,,1972
12179383,Part J,,,,1972
12179392,Middle East Rep,,,,1994
12179392,Middle East Rep,,,,1994
12179392,Middle East Rep,,,,1994
12179403,IGCC News,,,,1980
12179403,IGCC News,,,,1980
12179399,IGCC News,,,,1978
12179398,Vivre Autrement,,,,1994
12179398,Vivre Autrement,,,,1994
12179397,Vivre Autrement,,,,1994
12179405,Vopr Geogr,,,,1986
12179405,Vopr Geogr,,,,1986
12233638,Vopr Geogr,,,,1979
12179408,Estud Soc,,,,1993
12179408,Estud Soc,,,,1993
12179414,Estud Soc,,,,1985
12179422,Carta Inf,,,,1995
12179422,Carta Inf,,,,1995
12179418,Carta Inf,,,,1995
12179484,Al Usrah Wa Al Umran Al Bashari,,,,1988
12179484,Al Usrah Wa Al Umran Al Bashari,,,,1988
12179478,Al Usrah Wa Al Umran Al Bashari,,,,1987
12179429,Roshni,,,,1996
12179429,Roshni,,,,1996
12179425,Roshni,,,,1996
12179466,Dev Bull,,,,2000
12179466,Dev Bull,,,,2000
12179431,Dev Bull,,,,1992
12179472,Gt Concern,,,,1988
12179472,Gt Concern,,,,1988
12179474,Gt Concern,,,,1982
12179493,NBER Work Pap Ser,10.3386/w6778,https://www.nber.org/system/files/working_papers/w6778/w6778.pdf,Unknown,1998
12179493,NBER Work Pap Ser,10.3386/w6778,https://www.nber.org/system/files/working_papers/w6778/w6778.pdf,Unknown,1998
12179488,NBER Work Pap Ser,10.3386/w6774,https://www.nber.org/system/files/working_papers/w6774/w6774.pdf,Unknown,1998
12179494,Rev Planeac Desarro,,,,1989
12179494,Rev Planeac Desarro,,,,1989
12179494,Rev Planeac Desarro,,,,1989
12179509,Dly Times,,,,1993
12179509,Dly Times,,,,1993
12179502,Dly Times,,,,1992
12179514,Newswatch,,,,1991
12179514,Newswatch,,,,1991
12179514,Newswatch,,,,1991
12179518,Acta Geogr,,,,1998
12179518,Acta Geogr,,,,1998
12179515,Acta Geogr,,,,1989
12179521,Statistician,,,,1992
12179521,Statistician,,,,1992
12179523,Statistician,,,,1980
12179529,Newsl Int Union Sci Study Popul,,,,1996
12179529,Newsl Int Union Sci Study Popul,,,,1996
12179531,Newsl Int Union Sci Study Popul,,,,1988
12179539,Polit Int,,,,1993
12179539,Polit Int,,,,1993
12179542,Polit Int,,,,1985
12179548,Hindu,,,,1999
12179548,Hindu,,,,1999
12179547,Hindu,,,,1999
12179559,Sante Salud,,,,1994
12179559,Sante Salud,,,,1994
12179557,Sante Salud,,,,1994
12179569,Curr Law Statut Annot GB,,,,1993
12179569,Curr Law Statut Annot GB,,,,1993
12179571,Curr Law Statut Annot GB,,,,1991
20277883,Mem N Y Bot Gard,,,,1946
20277883,Mem N Y Bot Gard,,,,1946
20277882,Mem N Y Bot Gard,,,,1946
38910429,Curr Protein Pept Sci,10.2174/0113892037274615240528113148,https://www.eurekaselect.com/article/141201,Unknown,2024
38910429,Curr Protein Pept Sci,10.2174/0113892037274615240528113148,https://www.eurekaselect.com/article/141201,Unknown,2024
37102480,Curr Protein Pept Sci,10.2174/1389203724666230427112149,https://www.eurekaselect.com/article/131253,Unknown,2023
35942195,Journal,10.1111/wej.12812,https://onlinelibrary.wiley.com/doi/10.1111/wej.12812,Wiley,2022
35942195,Journal,10.1111/wej.12812,https://onlinelibrary.wiley.com/doi/10.1111/wej.12812,Wiley,2022
30281961,Journal,,,,2016
38860904,Curr Cancer Drug Targets,10.2174/0115680096298370240520093003,https://www.eurekaselect.com/article/140951,Unknown,2024
38860904,Curr Cancer Drug Targets,10.2174/0115680096298370240520093003,https://www.eurekaselect.com/article/140951,Unknown,2024
38623975,Curr Cancer Drug Targets,10.2174/0115680096295070240318075023,https://www.eurekaselect.com/article/139738,Unknown,2024
12194181,J Food Process Eng,10.1111/j.1745-4530.2000.tb00514.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1745-4530.2000.tb00514.x,Wiley,2000
12194181,J Food Process Eng,10.1111/j.1745-4530.2000.tb00514.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1745-4530.2000.tb00514.x,Wiley,2000
12194181,J Food Process Eng,10.1111/j.1745-4530.2000.tb00514.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1745-4530.2000.tb00514.x,Wiley,2000
34267412,Intern J Pattern Recognit Artif Intell,10.1142/s0218001420500330,https://www.worldscientific.com/doi/abs/10.1142/S0218001420500330,Unknown,2020
34267412,Intern J Pattern Recognit Artif Intell,10.1142/s0218001420500330,https://www.worldscientific.com/doi/abs/10.1142/S0218001420500330,Unknown,2020
34267412,Intern J Pattern Recognit Artif Intell,10.1142/s0218001420500330,https://www.worldscientific.com/doi/abs/10.1142/S0218001420500330,Unknown,2020
34898731,IEEE Trans Plasma Sci IEEE Nucl Plasma Sci Soc,10.1109/tps.2021.3113260,https://ieeexplore.ieee.org/document/9552962/,IEEE,2021
34898731,IEEE Trans Plasma Sci IEEE Nucl Plasma Sci Soc,10.1109/tps.2021.3113260,https://ieeexplore.ieee.org/document/9552962/,IEEE,2021
25067859,IEEE Trans Plasma Sci IEEE Nucl Plasma Sci Soc,10.1109/TPS.2013.2288493,https://ieeexplore.ieee.org/document/6665030/,IEEE,2014
21966260,Hum Perf Extrem Environ,10.1080/08959285.2011.597476,https://www.tandfonline.com/doi/abs/10.1080/08959285.2011.597476,Taylor & Francis,2011
21966260,Hum Perf Extrem Environ,10.1080/08959285.2011.597476,https://www.tandfonline.com/doi/abs/10.1080/08959285.2011.597476,Taylor & Francis,2011
12190081,Hum Perf Extrem Environ,10.7771/2327-2937.1006,https://docs.lib.purdue.edu/jhpee/vol5/iss1/5/,Unknown,2000
38504724,Color Res Appl,10.1002/col.22879,https://onlinelibrary.wiley.com/doi/10.1002/col.22879,Wiley,2023
38504724,Color Res Appl,10.1002/col.22879,https://onlinelibrary.wiley.com/doi/10.1002/col.22879,Wiley,2023
38145033,Color Res Appl,10.1002/col.22903,https://onlinelibrary.wiley.com/doi/10.1002/col.22903,Wiley,2023
37829326,User Model User-adapt Interact,10.1007/s11257-023-09362-1,https://link.springer.com/article/10.1007/s11257-023-09362-1,Springer,2023
37829326,User Model User-adapt Interact,10.1007/s11257-023-09362-1,https://link.springer.com/article/10.1007/s11257-023-09362-1,Springer,2023
36684390,User Model User-adapt Interact,10.1007/s11257-022-09353-8,https://link.springer.com/article/10.1007/s11257-022-09353-8,Springer,2023
12192683,Trans Jpn Soc Aeronaut Space Sci,10.2322/tjsass.43.153,https://www.jstage.jst.go.jp/article/tjsass/43/142/43_142_153/_article,Unknown,2001
12192683,Trans Jpn Soc Aeronaut Space Sci,10.2322/tjsass.43.153,https://www.jstage.jst.go.jp/article/tjsass/43/142/43_142_153/_article,Unknown,2001
12192683,Trans Jpn Soc Aeronaut Space Sci,10.2322/tjsass.43.153,https://www.jstage.jst.go.jp/article/tjsass/43/142/43_142_153/_article,Unknown,2001
38559378,Sens Actuators B Chem,10.1016/j.snb.2023.135073,https://linkinghub.elsevier.com/retrieve/pii/S0925400523017914,ScienceDirect,2024
38559378,Sens Actuators B Chem,10.1016/j.snb.2023.135073,https://linkinghub.elsevier.com/retrieve/pii/S0925400523017914,ScienceDirect,2024
37384350,Sens Actuators B Chem,10.1016/j.snb.2023.134001,https://linkinghub.elsevier.com/retrieve/pii/S0925400523007165,ScienceDirect,2023
12296360,Plant Genet Resour Newsl,,,,1998
12296360,Plant Genet Resour Newsl,,,,1998
12296360,Plant Genet Resour Newsl,,,,1998
38037589,Mater Des,10.1016/j.matdes.2023.112381,https://linkinghub.elsevier.com/retrieve/pii/S0264127523007967,ScienceDirect,2023
