PMID,Journal,doi,doi_url,publisher_guess,year
13866728,Galen Cas Med Farm Hem Srod Nauke,,,,1962
13866728,Galen Cas Med Farm Hem Srod Nauke,,,,1962
13866728,Galen Cas Med Farm Hem Srod Nauke,,,,1962
14041698,Fukushima Igaku Zasshi,,,,1962
14041698,Fukushima Igaku Zasshi,,,,1962
13994520,Fukushima Igaku Zasshi,,,,1962
13524340,Fortschr Angew Radioisot Grenzgeb,,,,1957
13524340,Fortschr Angew Radioisot Grenzgeb,,,,1957
13524339,Fortschr Angew Radioisot Grenzgeb,,,,1957
14034681,Farm Obz,,,,1963
14034681,Farm Obz,,,,1963
14034681,Farm Obz,,,,1963
14475892,Farm Nueva,,,,1961
14475892,Farm Nueva,,,,1961
14475892,Farm Nueva,,,,1961
14236831,Ergeb Biol,,,,1964
14236831,Ergeb Biol,,,,1964
14233042,Ergeb Biol,10.1007/978-3-642-46000-5_6,https://link.springer.com/chapter/10.1007/978-3-642-46000-5_6,Springer,1964
14482700,Endocr Terap,,,,1962
14482700,Endocr Terap,,,,1962
14482700,Endocr Terap,,,,1962
13868959,Economia Umana Rassegna Medica Internazionale,,,,1961
13868959,Economia Umana Rassegna Medica Internazionale,,,,1961
13868959,Economia Umana Rassegna Medica Internazionale,,,,1961
24546378,Doc Rheumatol,,,,1959
24546378,Doc Rheumatol,,,,1959
14407216,Doc Rheumatol,,,,1958
13810611,Doc Geigy Acta Psychosom (Dtsch Ausg),,,,1959
13810611,Doc Geigy Acta Psychosom (Dtsch Ausg),,,,1959
13810611,Doc Geigy Acta Psychosom (Dtsch Ausg),,,,1959
13773765,Dig Antibiot,,,,1961
13773765,Dig Antibiot,,,,1961
13773765,Dig Antibiot,,,,1961
13786025,Wiss Veroff Dtsch Ges Ernahr,,,,1960
13786025,Wiss Veroff Dtsch Ges Ernahr,,,,1960
13758759,Wiss Veroff Dtsch Ges Ernahr,,,,1960
13861342,Dent Prog (Chic),,,,1962
13861342,Dent Prog (Chic),,,,1962
13861342,Dent Prog (Chic),,,,1962
14896725,Dent Rec (London),,,,1951
14896725,Dent Rec (London),,,,1951
24539296,Dent Rec (London),,,,1950
14905943,Dent Items Interest,,,,1951
14905943,Dent Items Interest,,,,1951
14872620,Dent Items Interest,,,,1951
13459960,Bol Hosp Mil Cuba Ejercito Hosp Mil Dr Carlos J Finlay,,,,1956
13459960,Bol Hosp Mil Cuba Ejercito Hosp Mil Dr Carlos J Finlay,,,,1956
13459960,Bol Hosp Mil Cuba Ejercito Hosp Mil Dr Carlos J Finlay,,,,1956
14038152,Cron IDI,,,,1962
14038152,Cron IDI,,,,1962
14038152,Cron IDI,,,,1962
14480127,Corr Farm,,,,1962
14480127,Corr Farm,,,,1962
13861138,Corr Farm,,,,1962
14489442,Conf Lyon Ophtalmol,,,,1961
14489442,Conf Lyon Ophtalmol,,,,1961
14448199,Conf Lyon Ophtalmol,,,,1961
13902854,Arq Inst Farm,,,,1957
13902854,Arq Inst Farm,,,,1957
13902854,Arq Inst Farm,,,,1957
13209799,Clin Lat,,,,1954
13209799,Clin Lat,,,,1954
12988363,Clin Lat,,,,1952
14379448,Clin Nuova Rass Prog Med Int,,,,1954
14379448,Clin Nuova Rass Prog Med Int,,,,1954
13199908,Clin Nuova Rass Prog Med Int,,,,1954
13859700,Circ Farm,,,,1961
13859700,Circ Farm,,,,1961
13859700,Circ Farm,,,,1961
14032700,Chosen Ibo,,,,1962
14032700,Chosen Ibo,,,,1962
14032630,Chosen Ibo,,,,1962
14483259,Choson Uihak,,,,1961
14483259,Choson Uihak,,,,1961
14006422,Choson Uihak,,,,1961
14178484,Chiryo,,,,1964
14178484,Chiryo,,,,1964
