PMID,Journal,doi,doi_url,publisher_guess,year
28163365,J Multicult Couns Devel,10.1002/jmcd.12052,https://onlinelibrary.wiley.com/doi/10.1002/jmcd.12052,Wiley,2016
12337511,Epitheor Koin Ereun,10.12681/grsr.165,https://ejournals.epublishing.ekt.gr/index.php/ekke/article/view/6825,Unknown,1979
12337511,Epitheor Koin Ereun,10.12681/grsr.165,https://ejournals.epublishing.ekt.gr/index.php/ekke/article/view/6825,Unknown,1979
12312149,Epitheor Koin Ereun,10.12681/grsr.167,https://ejournals.epublishing.ekt.gr/index.php/ekke/article/view/6827,Unknown,1979
12349289,Safe Mother,,,,1999
12349289,Safe Mother,,,,1999
12347816,Safe Mother,,,,1996
38130391,Glob Environ Change,10.1016/j.gloenvcha.2023.102765,https://linkinghub.elsevier.com/retrieve/pii/S0959378023001310,ScienceDirect,2023
38130391,Glob Environ Change,10.1016/j.gloenvcha.2023.102765,https://linkinghub.elsevier.com/retrieve/pii/S0959378023001310,ScienceDirect,2023
28149003,Glob Environ Change,10.1016/j.gloenvcha.2014.07.003,https://linkinghub.elsevier.com/retrieve/pii/S0959378014001290,ScienceDirect,2014
37456554,Discourse Process,10.1080/0163853x.2023.2185408,https://www.tandfonline.com/doi/full/10.1080/0163853X.2023.2185408,Taylor & Francis,2023
37456554,Discourse Process,10.1080/0163853x.2023.2185408,https://www.tandfonline.com/doi/full/10.1080/0163853X.2023.2185408,Taylor & Francis,2023
31097846,Discourse Process,10.1080/0163853X.2016.1240742,https://www.tandfonline.com/doi/full/10.1080/0163853X.2016.1240742,Taylor & Francis,2018
12317332,J Egypt Soc Obstet Gynecol,,,,1991
12317332,J Egypt Soc Obstet Gynecol,,,,1991
12279356,J Egypt Soc Obstet Gynecol,,,,1981
12313650,Cad Pesqui,,,,1983
12313650,Cad Pesqui,,,,1983
12313650,Cad Pesqui,,,,1983
23226923,Gend Educ,10.1080/09540253.2012.712097,https://www.tandfonline.com/doi/full/10.1080/09540253.2012.712097,Taylor & Francis,2012
23226923,Gend Educ,10.1080/09540253.2012.712097,https://www.tandfonline.com/doi/full/10.1080/09540253.2012.712097,Taylor & Francis,2012
23226923,Gend Educ,10.1080/09540253.2012.712097,https://www.tandfonline.com/doi/full/10.1080/09540253.2012.712097,Taylor & Francis,2012
12312833,Lett Ford Found,,,,1984
12312833,Lett Ford Found,,,,1984
12312833,Lett Ford Found,,,,1984
12345909,Planej Agora,,,,1994
12345909,Planej Agora,,,,1994
12345909,Planej Agora,,,,1994
12311569,Med Hoje,,,,1978
12311569,Med Hoje,,,,1978
12311569,Med Hoje,,,,1978
12292971,J Community Dev Soc,10.1080/15575339709489799,https://www.tandfonline.com/doi/abs/10.1080/15575339709489799,Taylor & Francis,1997
12292971,J Community Dev Soc,10.1080/15575339709489799,https://www.tandfonline.com/doi/abs/10.1080/15575339709489799,Taylor & Francis,1997
12320761,J Community Dev Soc,10.1080/15575339509489857,https://www.tandfonline.com/doi/abs/10.1080/15575339509489857,Taylor & Francis,1995
