13341626,Arq Biol,,,,1956
13639604,Del State Med J,,,,1959
13765152,Vopr Neirooftalmologii,,,,1961
13775381,Del State Med J,,,,1960
14910254,Med Welt (Stuttg),,,,1951
14940672,Med Welt (Stuttg),,,,1951
18117859,J Immunol Virus Res Exp Chemother,,,,1949
24490121,Opt Mater Express,10.1364/OME.1.000936,https://opg.optica.org/ome/abstract.cfm?uri=ome-1-5-936,Unknown,2011
24536749,Gegen Tuberk,,,,1950
24536750,Gegen Tuberk,,,,1950
24537728,Vopr Neirooftalmologii,,,,1950
29303163,IEEE Int Symp Mixed Augment Real,10.1109/ISMAR-Adjunct.2017.89,https://ieeexplore.ieee.org/document/8088507/,IEEE,2017
29725489,Phys Ther J Policy Adm Leadersh,,,,2015
30148285,Control Technol Appl,10.1109/CCTA.2017.8062565,https://ieeexplore.ieee.org/document/8062565/,IEEE,2017
30368489,Isr J Psychiatry,,,,2018
30740599,Hamlyn Symp Med Robot,,,,2016
31741726,IEEE Workshop Vis Anal Healthc,10.1109/VAHC.2017.8387500,https://ieeexplore.ieee.org/document/8387500/,IEEE,2017
32457933,Collabra Psychol,10.1525/collabra.297,https://online.ucpress.edu/collabra/article/doi/10.1525/collabra.297/113058/The-Structure-of-SelfRegulation-and-Its,Unknown,2020
32709564,Rev Esp Cir Ortop Traumatol (Engl Ed),10.1016/j.recot.2020.05.005,https://linkinghub.elsevier.com/retrieve/pii/S1888441520300692,ScienceDirect,2021
33311856,Autom Constr,10.1016/j.autcon.2020.103345,https://linkinghub.elsevier.com/retrieve/pii/S0926580520309250,ScienceDirect,2020
33367154,Int J Acad Med,,,,2020
33381222,Int Political Sociol,10.1093/ips/olw026,https://academic.oup.com/ips/article-lookup/doi/10.1093/ips/olw026,Oxford University Press,2017
33381247,J Agric Sci (Tor),10.5539/jas.v11n4p25,https://www.ccsenet.org/journal/index.php/jas/article/view/0/38709,Unknown,2019
33381537,C (Basel),10.3390/c4020029,https://www.mdpi.com/2311-5629/4/2/29,Unknown,2018
33381607,Int J Plant Soil Sci,10.9734/IJPSS/2019/v29i330141,https://journalijpss.com/index.php/IJPSS/article/view/1003,Unknown,2019
33384573,J Anim Prod,10.20884/1.jap.2017.19.1.585,http://animalproduction.net/index.php/JAP/article/view/585,Unknown,2017
33408552,J Exp Clin Med (Samsun),,,,2020
33442503,J Civ Struct Health Monit,10.1007/s13349-020-00420-5,https://link.springer.com/article/10.1007/s13349-020-00420-5,Springer,2020
33442669,MOJ Sports Med,,,,2020
33442672,Arch Orthop Rheumatol,,,,2020
33442673,Adv Oper Theory,10.1007/s43036-020-00104-3,https://link.springer.com/article/10.1007/s43036-020-00104-3,Springer,2021
33456297,Innov Res Clin Serv Community Support Rehabil,,,,1994
33479549,Mod Fiction Stud,10.1353/mfs.2020.0050,https://muse.jhu.edu/article/775819,Unknown,2020
33506103,SAE Int J Veh Dyn Stab NVH,10.4271/2017-01-1765,https://saemobilus.sae.org/articles/noise-control-capability-structurally-integrated-resonator-arrays-a-foam-treated-cylinder-2017-01-1765,Unknown,2017
33510552,J Propuls Power,10.2514/1.B36550,https://arc.aiaa.org/doi/10.2514/1.B36550,Unknown,2018
33511329,Mech Soft Mater,10.1007/s42558-020-00026-3,https://link.springer.com/article/10.1007/s42558-020-00026-3,Springer,2020
33511330,Adv Biomark Sci Technol,10.1016/j.abst.2020.08.001,https://linkinghub.elsevier.com/retrieve/pii/S2543106420300016,ScienceDirect,2020
33511332,Arab J Basic Appl Sci,10.1080/25765299.2020.1849491,https://www.tandfonline.com/doi/full/10.1080/25765299.2020.1849491,Taylor & Francis,2020
33511380,Vaccin Res,,,,2016
33518810,Miner Depos,10.1007/s00126-020-00964-y,https://link.springer.com/article/10.1007/s00126-020-00964-y,Springer,2021
33551632,J Polit Ecol,10.2458/v27i1.23152,https://journals.librarypublishing.arizona.edu/jpe/article/id/2258/,Unknown,2020
33554055,J Biomed Allied Res,10.37191/mapsci-2582-4937-2(1)-013,https://maplespub.com/article/Need-for-Specialized-Therapeutic-Stem-Cells-Banks-Equipped-with-Tumor-Regression-Enzymes-and-Anti-Tumor-Genes,Unknown,2020
33554211,Environ Energy Policy Econ,10.1086/711309,https://www.journals.uchicago.edu/doi/10.1086/711309,Unknown,2021
33554223,Arch Proteom Bioinform,,,,2020
33564752,J Nanosci Nanomed,,,,2020
33574641,Argumentation,10.1007/s10503-021-09546-2,https://link.springer.com/article/10.1007/s10503-021-09546-2,Springer,2021
33575687,Proc ASME Verification Valid Symp 2019 (2019),10.1115/1.4048748,https://asmedigitalcollection.asme.org/verification/article/doi/10.1115/1.4048748/1087951/Verification-of-Manual-Digitization-Methods-During,Unknown,2019
