PMID,Journal,doi,doi_url,publisher_guess,year
20244723,Bull Multnomah Cty,,,,1947
20244723,Bull Multnomah Cty,,,,1947
20244723,Bull Multnomah Cty,,,,1947
20244490,Mother,,,,1947
20244490,Mother,,,,1947
21025174,Mother,,,,1946
20249947,Natl Elect Med Q,,,,1947
20249947,Natl Elect Med Q,,,,1947
21025895,Natl Elect Med Q,,,,1946
20256126,N Z J Sci Technol Sect B,,,,1947
20256126,N Z J Sci Technol Sect B,,,,1947
21000526,N Z J Sci Technol Sect B,,,,1945
20241307,North N Y Med J,,,,1947
20241307,North N Y Med J,,,,1947
21028024,North N Y Med J,,,,1946
20260996,J Obstet Gynaecol Soc North India,,,,1947
20260996,J Obstet Gynaecol Soc North India,,,,1947
21023840,J Obstet Gynaecol Soc North India,,,,1945
20243594,Pa Pharm,,,,1947
20243594,Pa Pharm,,,,1947
20243594,Pa Pharm,,,,1947
20271358,Pittsbg Med Bull,,,,1947
20271358,Pittsbg Med Bull,,,,1947
20267459,Pittsbg Med Bull,,,,1947
20262008,Publ Farm (Sao Paulo),,,,1947
20262008,Publ Farm (Sao Paulo),,,,1947
20280358,Publ Farm (Sao Paulo),,,,1945
20261524,Punjab Med J (Banga),,,,1947
20261524,Punjab Med J (Banga),,,,1947
20282005,Punjab Med J (Banga),,,,1946
20255204,Pure Cult Study Bact,,,,1947
20255204,Pure Cult Study Bact,,,,1947
20255204,Pure Cult Study Bact,,,,1947
20248613,Rev Col Med,,,,1947
20248613,Rev Col Med,,,,1947
20248613,Rev Col Med,,,,1947
20244892,Kuba,,,,1947
20244892,Kuba,,,,1947
20987462,Kuba,,,,1946
20243708,Rev Radiol Fisioter,,,,1947
20243708,Rev Radiol Fisioter,,,,1947
21005168,Rev Radiol Fisioter,,,,1945
20296664,Rev Med (Puebla),,,,1946
20296664,Rev Med (Puebla),,,,1946
20984065,Rev Med (Puebla),,,,1946
20250957,Rev Neurol B Aires,,,,1946
20250957,Rev Neurol B Aires,,,,1946
21024361,Rev Neurol B Aires,,,,1945
20270940,Rev Diet,,,,1946
20270940,Rev Diet,,,,1946
20270939,Rev Diet,,,,1946
20343037,Salubr Asist,,,,1946
20343037,Salubr Asist,,,,1946
20245568,Salubr Asist,,,,1946
20343155,Schweizer Chem Ztg Tech Ind,,,,1946
20343155,Schweizer Chem Ztg Tech Ind,,,,1946
20276206,Schweizer Chem Ztg Tech Ind,,,,1946
20249493,Arch Soc Agent Anat Norm Patol,,,,1946
20249493,Arch Soc Agent Anat Norm Patol,,,,1946
20249493,Arch Soc Agent Anat Norm Patol,,,,1946
20247472,Mem Soc Urug Urol,,,,1946
20247472,Mem Soc Urug Urol,,,,1946
20247470,Mem Soc Urug Urol,,,,1946
20243275,Trib Med Soc,,,,1947
20243275,Trib Med Soc,,,,1947
20243275,Trib Med Soc,,,,1947
20255884,Staff Proc,,,,1947
20255884,Staff Proc,,,,1947
20340221,Staff Proc,,,,1946
21022868,U M C Cordoba,,,,1946
21022868,U M C Cordoba,,,,1946
21022868,U M C Cordoba,,,,1946
20245451,Underst Child,,,,1947
20245451,Underst Child,,,,1947
20245448,Underst Child,,,,1947
20273468,Unidad Sanit,,,,1947
20273468,Unidad Sanit,,,,1947
20273466,Unidad Sanit,,,,1947
20250952,Publ Univ Chile,,,,1946
20250952,Publ Univ Chile,,,,1946
20250952,Publ Univ Chile,,,,1946
20246905,Univer Leeds Med Mag,,,,1946
20246905,Univer Leeds Med Mag,,,,1946
20246904,Univer Leeds Med Mag,,,,1946
20271014,Whats New Ind Hyg,,,,1947
20271014,Whats New Ind Hyg,,,,1947
20271014,Whats New Ind Hyg,,,,1947
20242094,Ill Health Messenger,,,,1947
20242094,Ill Health Messenger,,,,1947
20242094,Ill Health Messenger,,,,1947
20247138,Bull Colo,,,,1947
20247138,Bull Colo,,,,1947
20247138,Bull Colo,,,,1947
20265484,Med Mission Austria,,,,1947
20265484,Med Mission Austria,,,,1947
20265484,Med Mission Austria,,,,1947
20244539,Bull Commun Dis Med Notes,,,,1946
20244539,Bull Commun Dis Med Notes,,,,1946
20244539,Bull Commun Dis Med Notes,,,,1946
20246103,Hahnemann Hosp Tidings,,,,1947
20246103,Hahnemann Hosp Tidings,,,,1947
20283753,Hahnemann Hosp Tidings,,,,1946
5907433,Scalpel,,,,1966
5907433,Scalpel,,,,1966
5852474,Scalpel,,,,1965
27453584,Coll Res Libr,10.5860/crl.77.4.410,https://crl.acrl.org/index.php/crl/article/view/16523,Unknown,2016
27453584,Coll Res Libr,10.5860/crl.77.4.410,https://crl.acrl.org/index.php/crl/article/view/16523,Unknown,2016
27453584,Coll Res Libr,10.5860/crl.77.4.410,https://crl.acrl.org/index.php/crl/article/view/16523,Unknown,2016
20270981,Bull N Y Public Libr,,,,1947
20270981,Bull N Y Public Libr,,,,1947
20270981,Bull N Y Public Libr,,,,1947
20268365,Bol Bibliogr (Sao Paulo),,,,1947
20268365,Bol Bibliogr (Sao Paulo),,,,1947
20268364,Bol Bibliogr (Sao Paulo),,,,1947
20344401,Abstr Translat Sci Library,,,,1947
20344401,Abstr Translat Sci Library,,,,1947
20254457,Abstr Translat Sci Library,,,,1947
37854269,Evol Biol,10.1007/s11692-023-09612-5,https://link.springer.com/article/10.1007/s11692-023-09612-5,Springer,2023
37854269,Evol Biol,10.1007/s11692-023-09612-5,https://link.springer.com/article/10.1007/s11692-023-09612-5,Springer,2023
30459479,Evol Biol,10.1007/s11692-018-9457-8,https://link.springer.com/article/10.1007/s11692-018-9457-8,Springer,2018
20246940,Master Sched Prof Staff Proc,,,,1946
20246940,Master Sched Prof Staff Proc,,,,1946
20246935,Master Sched Prof Staff Proc,,,,1946
38618700,Anthropol Med,10.1080/13648470.2024.2339705,https://www.tandfonline.com/doi/full/10.1080/13648470.2024.2339705,Taylor & Francis,2024
38618700,Anthropol Med,10.1080/13648470.2024.2339705,https://www.tandfonline.com/doi/full/10.1080/13648470.2024.2339705,Taylor & Francis,2024
35187998,Anthropol Med,10.1080/13648470.2021.2017126,https://www.tandfonline.com/doi/full/10.1080/13648470.2021.2017126,Taylor & Francis,2022
30515486,Eur J Oral Implantol,,,,2018
30515486,Eur J Oral Implantol,,,,2018
28555207,Eur J Oral Implantol,,,,2017
38899910,Interv Neuroradiol,10.1177/15910199241262848,https://journals.sagepub.com/doi/10.1177/15910199241262848,SAGE Publications,2024
38899910,Interv Neuroradiol,10.1177/15910199241262848,https://journals.sagepub.com/doi/10.1177/15910199241262848,SAGE Publications,2024
38748537,Interv Neuroradiol,10.1177/15910199241251907,https://journals.sagepub.com/doi/10.1177/15910199241251907,SAGE Publications,2024
36417340,MEDICC Rev,10.37757/mr2022.v24.n3-4.14,https://mediccreview.org/full-technical-report-insights-from-cubas-covid-19-vaccine-enterprise/,Unknown,2022
36417340,MEDICC Rev,10.37757/mr2022.v24.n3-4.14,https://mediccreview.org/full-technical-report-insights-from-cubas-covid-19-vaccine-enterprise/,Unknown,2022
34516532,MEDICC Rev,10.37757/MR2021.V23.N3.4,https://mediccreview.org/covid-19-comparison-response-rwanda-south-africa-zimbabwe/,Unknown,2021
38852589,Med Glas (Zenica),10.17392/1718-21-02,https://medicinskiglasnik.ba/article/1793,Unknown,2024
38852589,Med Glas (Zenica),10.17392/1718-21-02,https://medicinskiglasnik.ba/article/1793,Unknown,2024
36692983,Med Glas (Zenica),10.17392/1530-22,https://ljkzedo.ba/mgpdf/mg38/15_Putri_1530_A.pdf,Unknown,2023
