PMID,Journal,doi,doi_url,publisher_guess,year
3828007,Alcohol Drug Res,,,,1987
3828007,Alcohol Drug Res,,,,1987
2431698,Alcohol Drug Res,,,,1987
18046838,Alcohol Alcohol Suppl,,,,2007
18046838,Alcohol Alcohol Suppl,,,,2007
8974376,Alcohol Alcohol Suppl,,,,1994
1088058,Acta Anat Suppl (Basel),,,,1976
1088058,Acta Anat Suppl (Basel),,,,1976
4247191,Acta Anat Suppl (Basel),10.1159/000143351,https://karger.com/aan/article.aspx?articleid=326537,Karger,1969
38700690,Adv Tech Stand Neurosurg,10.1007/978-3-031-42398-7_14,https://link.springer.com/chapter/10.1007/978-3-031-42398-7_14,Springer,2024
38700690,Adv Tech Stand Neurosurg,10.1007/978-3-031-42398-7_14,https://link.springer.com/chapter/10.1007/978-3-031-42398-7_14,Springer,2024
26508407,Adv Tech Stand Neurosurg,10.1007/978-3-319-21359-0_4,https://link.springer.com/chapter/10.1007/978-3-319-21359-0_4,Springer,2016
3828009,AIDS Res,,,,1986
3828009,AIDS Res,,,,1986
3013219,AIDS Res,10.1089/aid.1.1986.2.5,https://www.liebertpub.com/doi/10.1089/aid.1.1986.2.5,Unknown,1986
5289619,Bol Asoc Argent Odontol Ninos,,,,1971
5289619,Bol Asoc Argent Odontol Ninos,,,,1971
4257333,Bol Asoc Argent Odontol Ninos,,,,1971
6561959,AANNT J,,,,1984
6561959,AANNT J,,,,1984
6556907,AANNT J,,,,1983
11995714,Cytometry Suppl,,,,2002
11995714,Cytometry Suppl,,,,2002
3076369,Cytometry Suppl,10.1002/cyto.990090814,https://onlinelibrary.wiley.com/doi/10.1002/cyto.990090814,Wiley,1988
8507299,S C Nurse,,,,1993
8507299,S C Nurse,,,,1993
2712957,S C Nurse,,,,1989
10343979,Mol Chem Neuropathol,10.1007/BF02815124,https://link.springer.com/article/10.1007/BF02815124,Springer,1998
10343979,Mol Chem Neuropathol,10.1007/BF02815124,https://link.springer.com/article/10.1007/BF02815124,Springer,1998
9138429,Mol Chem Neuropathol,10.1007/BF02815150,https://link.springer.com/article/10.1007/BF02815150,Springer,1997
29861498,Bol Asoc Med P R,,,,2017
29861498,Bol Asoc Med P R,,,,2017
26434084,Bol Asoc Med P R,,,,2015
10537989,N Z Health Hospital,,,,1997
10537989,N Z Health Hospital,,,,1997
10172605,N Z Health Hospital,,,,1996
38914098,Laryngorhinootologie,10.1055/a-2318-6877,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2318-6877,Unknown,2024
38914098,Laryngorhinootologie,10.1055/a-2318-6877,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2318-6877,Unknown,2024
38408484,Laryngorhinootologie,10.1055/a-2249-3796,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2249-3796,Unknown,2024
11188171,QRC Advis,,,,2000
11188171,QRC Advis,,,,2000
10176014,QRC Advis,,,,1997
1476590,Noseleutike,,,,1992
1476590,Noseleutike,,,,1992
2090136,Noseleutike,,,,1990
38842174,Annu Rev Public Health,10.1146/annurev-publhealth-060722-025138,https://www.annualreviews.org/content/journals/10.1146/annurev-publhealth-060722-025138,Unknown,2024
38842174,Annu Rev Public Health,10.1146/annurev-publhealth-060722-025138,https://www.annualreviews.org/content/journals/10.1146/annurev-publhealth-060722-025138,Unknown,2024
36266262,Annu Rev Public Health,10.1146/annurev-publhealth-071421-031614,https://www.annualreviews.org/doi/10.1146/annurev-publhealth-071421-031614,Unknown,2023
38877878,Asian Pac J Allergy Immunol,,,,2024
38877878,Asian Pac J Allergy Immunol,,,,2024
36278780,Asian Pac J Allergy Immunol,10.12932/AP-241021-1259,https://apjai-journal.org/wp-content/uploads/2022/10/AP-241021-1259.pdf,Unknown,2022
5194952,Bol Asoc Venez Enferm Prof,,,,1969
5194952,Bol Asoc Venez Enferm Prof,,,,1969
5178591,Bol Asoc Venez Enferm Prof,,,,1966
38898696,Birth,10.1111/birt.12841,https://onlinelibrary.wiley.com/doi/10.1111/birt.12841,Wiley,2024
38898696,Birth,10.1111/birt.12841,https://onlinelibrary.wiley.com/doi/10.1111/birt.12841,Wiley,2024
38590170,Birth,10.1111/birt.12822,https://onlinelibrary.wiley.com/doi/10.1111/birt.12822,Wiley,2024
10144079,Ky Hosp Mag,,,,1995
10144079,Ky Hosp Mag,,,,1995
10125441,Ky Hosp Mag,,,,1993
1776988,Av Odontoestomatol,,,,1991
1776988,Av Odontoestomatol,,,,1991
2222652,Av Odontoestomatol,,,,1990
38902971,Proc Inst Mech Eng H,10.1177/09544119241256715,https://journals.sagepub.com/doi/10.1177/09544119241256715,SAGE Publications,2024
38902971,Proc Inst Mech Eng H,10.1177/09544119241256715,https://journals.sagepub.com/doi/10.1177/09544119241256715,SAGE Publications,2024
38235731,Proc Inst Mech Eng H,10.1177/09544119231221193,https://journals.sagepub.com/doi/10.1177/09544119231221193,SAGE Publications,2024
9376018,J Intern Med Suppl,,,,1997
9376018,J Intern Med Suppl,,,,1997
2166523,J Intern Med Suppl,10.1111/j.1365-2796.1990.tb01486.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2796.1990.tb01486.x,Wiley,1990
8117376,Rev Fr Transfus Hemobiol,10.1016/s1140-4639(05)80226-6,https://linkinghub.elsevier.com/retrieve/pii/S1140463905802266,ScienceDirect,1993
8117376,Rev Fr Transfus Hemobiol,10.1016/s1140-4639(05)80226-6,https://linkinghub.elsevier.com/retrieve/pii/S1140463905802266,ScienceDirect,1993
1712203,Rev Fr Transfus Hemobiol,10.1016/s1140-4639(05)80069-3,https://linkinghub.elsevier.com/retrieve/pii/S1140463905800693,ScienceDirect,1991
1867727,Annu Rev Biophys Biophys Chem,10.1146/annurev.bb.20.060191.000455,https://www.annualreviews.org/doi/10.1146/annurev.bb.20.060191.000455,Unknown,1991
1867727,Annu Rev Biophys Biophys Chem,10.1146/annurev.bb.20.060191.000455,https://www.annualreviews.org/doi/10.1146/annurev.bb.20.060191.000455,Unknown,1991
2456074,Annu Rev Biophys Biophys Chem,10.1146/annurev.bb.17.060188.001123,https://www.annualreviews.org/doi/10.1146/annurev.bb.17.060188.001123,Unknown,1988
1839708,Rev Eur Odontoestomatol,,,,1991
1839708,Rev Eur Odontoestomatol,,,,1991
2094264,Rev Eur Odontoestomatol,,,,1990
9115548,Arctic Med Res,,,,1996
9115548,Arctic Med Res,,,,1996
7639900,Arctic Med Res,,,,1995
38873755,Health Serv Manage Res,10.1177/09514848241254931,https://journals.sagepub.com/doi/10.1177/09514848241254931,SAGE Publications,2024
